depth,height,id,line_id,package,pn,type_id,vendor_id,volume,weight,width,long_desc,prices,cad_files,item_groups
,,KP_TEE3024,line5084,1,KP_TEE3024,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '169.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3024_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3024_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3030,line5084,1,KP_TEE3030,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '179.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3030_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3030_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3036,line5084,1,KP_TEE3036,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '187.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3036_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3036_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3042,line5084,1,KP_TEE3042,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '202.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3042_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3042_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3048,line5084,1,KP_TEE3048,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '215.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3048_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3048_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3054,line5084,1,KP_TEE3054,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '232.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3054_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3054_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3060,line5084,1,KP_TEE3060,,vendor01,,,,"Standard Panel Elevated Cable Way 30"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '245.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3060_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3060_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3624,line5084,1,KP_TEE3624,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '172.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3624_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3624_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3630,line5084,1,KP_TEE3630,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '181.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3630_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3630_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3636,line5084,1,KP_TEE3636,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '190.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3636_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3636_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3642,line5084,1,KP_TEE3642,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '204.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3642_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3642_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3648,line5084,1,KP_TEE3648,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '217.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3648_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3648_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3654,line5084,1,KP_TEE3654,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '234.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3654_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3654_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE3660,line5084,1,KP_TEE3660,,vendor01,,,,"Standard Panel Elevated Cable Way 36"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '248.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE3660_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE3660_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4224,line5084,1,KP_TEE4224,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '183.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4224_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4224_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4230,line5084,1,KP_TEE4230,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '197.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4230_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4230_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4236,line5084,1,KP_TEE4236,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '209.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4236_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4236_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4242,line5084,1,KP_TEE4242,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '222.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4242_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4242_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4248,line5084,1,KP_TEE4248,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '235.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4248_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4248_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4254,line5084,1,KP_TEE4254,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '254.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4254_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4254_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE4260,line5084,1,KP_TEE4260,,vendor01,,,,"Standard Panel Elevated Cable Way 42"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '268.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE4260_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE4260_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5124,line5084,1,KP_TEE5124,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '204.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5124_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5124_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5130,line5084,1,KP_TEE5130,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '215.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5130_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5130_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5136,line5084,1,KP_TEE5136,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '226.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5136_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5136_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5142,line5084,1,KP_TEE5142,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '240.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5142_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5142_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5148,line5084,1,KP_TEE5148,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '258.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5148_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5148_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5154,line5084,1,KP_TEE5154,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '273.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5154_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5154_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE5160,line5084,1,KP_TEE5160,,vendor01,,,,"Standard Panel Elevated Cable Way 51"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '290.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE5160_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE5160_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6624,line5084,1,KP_TEE6624,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '224.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6624_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6624_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6630,line5084,1,KP_TEE6630,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '235.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6630_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6630_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6636,line5084,1,KP_TEE6636,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '244.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6636_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6636_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6642,line5084,1,KP_TEE6642,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '260.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6642_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6642_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6648,line5084,1,KP_TEE6648,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '275.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6648_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6648_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6654,line5084,1,KP_TEE6654,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '293.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6654_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6654_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TEE6660,line5084,1,KP_TEE6660,,vendor01,,,,"Standard Panel Elevated Cable Way 66"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '309.00'}]","[{'view_id': 'view42', 'file': 'KP_TEE6660_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TEE6660_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3024,line5084,1,KP_TUU3024,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '169.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3024_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3024_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3030,line5084,1,KP_TUU3030,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '169.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3030_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3030_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3036,line5084,1,KP_TUU3036,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '179.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3036_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3036_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3042,line5084,1,KP_TUU3042,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '187.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3042_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3042_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3048,line5084,1,KP_TUU3048,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '202.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3048_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3048_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3054,line5084,1,KP_TUU3054,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '215.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3054_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3054_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3060,line5084,1,KP_TUU3060,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 30"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '232.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3060_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3060_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3624,line5084,1,KP_TUU3624,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '245.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3624_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3624_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3630,line5084,1,KP_TUU3630,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '172.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3630_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3630_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3636,line5084,1,KP_TUU3636,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '181.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3636_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3636_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3642,line5084,1,KP_TUU3642,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '190.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3642_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3642_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3648,line5084,1,KP_TUU3648,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '204.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3648_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3648_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
